gratis 	 adjective 	 charge 	 free, without charge
juez 	 noun 	 official 	 umpire; referee; official
juramentado 	 noun 	 oath 	 One bound by an oath
juramentado 	 noun 	 Christian 	 A Muslim Filipino  who takes an oath to attack and kill Christians until he is killed
juramentado 	 noun 	 Filipino 	 A Muslim Filipino  who takes an oath to attack and kill Christians until he is killed
juramentado 	 noun 	 Muslim 	 A Muslim Filipino  who takes an oath to attack and kill Christians until he is killed
juramentado 	 adjective 	 crazy 	 crazy, insane
juramentado 	 adjective 	 insane 	 crazy, insane
moro 	 noun 	 Moor 	 a Moor
moro 	 noun 	 Arab 	 a Muslim or Arab, particularly Muslims in the southern Philippines
moro 	 noun 	 Muslim 	 a Muslim or Arab, particularly Muslims in the southern Philippines
matador 	 noun 	 killer 	 a slaughterer, a killer
matador 	 noun 	 slaughterer 	 a slaughterer, a killer
matador 	 noun 	 bullfighter 	 matador, a featured bullfighter at a bullfight event
matador 	 noun 	 English 	 matador, a featured bullfighter at a bullfight event
matador 	 noun 	 bullfight 	 matador, a featured bullfighter at a bullfight event
matanza 	 noun 	 kill 	 kill
matanza 	 noun 	 massacre 	 massacre, slaughter
matanza 	 noun 	 slaughter 	 massacre, slaughter
matanza 	 noun 	 slaughter 	 slaughter
remontado 	 noun 	 mount 	 Re-mounted, gone back to the hills or mountains
elegantemente 	 adverb 	 elegantly 	 elegantly
piñata 	 noun 	 pinata 	 pinata
pato 	 noun 	 drake 	 duck, drake
pato 	 noun 	 duck 	 duck, drake
pato 	 noun 	 faggot 	 homosexual, faggot
pato 	 noun 	 homosexual 	 homosexual, faggot
pata 	 noun 	 foot 	 paw, foot, leg
pata 	 noun 	 paw 	 paw, foot, leg
pata 	 noun 	 leg 	 paw, foot, leg
pata 	 noun 	 leg 	 leg
pata 	 noun 	 foot 	 human leg, foot often used in anger
pata 	 noun 	 leg 	 human leg, foot often used in anger
pata 	 noun 	 footprint 	 footprint often used in anger
pata 	 noun 	 flap 	 pocket flap
pata 	 noun 	 tie 	 tie, draw
pata 	 noun 	 draw 	 tie, draw
humo 	 noun 	 smoke 	 smoke
humo 	 noun 	 steam 	 steam
humo 	 noun 	 fume 	 fume, fumes
humo 	 noun 	 fumes 	 fume, fumes
humo 	 noun 	 conceit 	 conceit
huevo 	 noun 	 egg 	 egg
huevo 	 noun 	 spawn 	 spawn
huevo 	 noun 	 testicle 	 testicle
huevo 	 noun 	 gut 	 guts, balls, courage
huevo 	 noun 	 ball 	 guts, balls, courage
huevo 	 noun 	 courage 	 guts, balls, courage
huevo 	 noun 	 zygote 	 zygote
huevo 	 noun 	 ovule 	 ovule
huevos 	 noun 	 balls 	 guts, balls
huevos 	 noun 	 guts 	 guts, balls
torta 	 noun 	 cake 	 cake
torta 	 noun 	 pie 	 tart, pie
torta 	 noun 	 tart 	 tart, pie
torta 	 noun 	 sandwich 	 sandwich on a roll
torta 	 noun 	 flatbread 	 flatbread
torta 	 noun 	 cuff on the ear 	 slap in the face, cuff on the ear
torta 	 noun 	 slap in the face 	 slap in the face, cuff on the ear
torta 	 noun 	 drunkenness 	 drunkenness
sale 	 interjection 	 ok 	 ok
natal 	 adjective 	 native 	 native
natal 	 adjective 	 home 	 home
do 	 noun 	 do 	 do
do 	 adverb 	 where 	 where
do 	 pronoun 	 where 	 where
saya 	 noun 	 skirt 	 a woman’s skirt
hay 	 verb 	 there is 	 ending=er|mood=indicative|tense=present|pers=impersonal|number=impersonal|haber|nodot=y, there is, there are
hay 	 verb 	 there are 	 ending=er|mood=indicative|tense=present|pers=impersonal|number=impersonal|haber|nodot=y, there is, there are
español 	 adjective 	 Spanish 	 Spanish
español 	 adjective 	 Spanish 	 Spanish
español 	 noun 	 Spaniard 	 Spaniard
español 	 noun 	 Spanish 	 Q1321 the Spanish language
simba 	 adjective 	 Simba 	 Simba
simba 	 noun 	 Simba 	 Simba
viña 	 noun 	 vineyard 	 vineyard
día 	 noun 	 day 	 day
día 	 noun 	 day 	 day
día 	 noun 	 day 	 day
día 	 noun 	 day 	 day
día 	 noun 	 daytime 	 day, daytime
día 	 noun 	 day 	 day, daytime
hard 	 adjective 	 heavy 	 hard, heavy, hardcore
hard 	 adjective 	 hardcore 	 hard, heavy, hardcore
pollo 	 noun 	 chicken 	 chicken
pollo 	 noun 	 chicken 	 young chicken
pollo 	 noun 	 young 	 young chicken
pollo 	 noun 	 scene 	 fuss, scene
pollo 	 noun 	 fuss 	 fuss, scene
pollo 	 adjective 	 unexperienced 	 unexperienced
gallo 	 noun 	 rooster 	 rooster, cock
gallo 	 noun 	 cock 	 rooster, cock
gallo 	 noun 	 megrim 	 megrim
gallo 	 noun 	 John Dory 	 John Dory
gallo 	 noun 	 common poppy 	 common poppy
gallo 	 noun 	 tortilla 	 corn tortilla sandwich, usually filled with meat and/or beans, and other ingredients
gallo 	 noun 	 corn 	 corn tortilla sandwich, usually filled with meat and/or beans, and other ingredients
gallo 	 noun 	 bantamweight 	 bantamweight
gallo 	 noun 	 voice crack 	 voice crack
gallo 	 noun 	 serenade 	 serenade
gallo 	 noun 	 dude 	 guy, dude
gallo 	 noun 	 guy 	 guy, dude
leche 	 noun 	 milk 	 milk
leche 	 noun 	 semen 	 cum, semen
leche 	 noun 	 cum 	 cum, semen
leche 	 interjection 	 shit 	 shit
computadora 	 noun 	 computer 	 computer
conejo 	 noun 	 rabbit 	 rabbit, cony, coney
conejo 	 noun 	 coney 	 rabbit, cony, coney
conejo 	 noun 	 cony 	 rabbit, cony, coney
conejo 	 noun 	 detective 	 detective
conejo 	 noun 	 biceps 	 a contracted biceps
conejo 	 noun 	 contracted 	 a contracted biceps
conejo 	 noun 	 cunt 	 cunt
teléfono 	 noun 	 telephone 	 telephone
teléfono 	 noun 	 telephone number 	 telephone number
luz 	 noun 	 light 	 light
luz 	 noun 	 lumen 	 lumen
luz 	 noun 	 brightness 	 brightness, intelligence
luz 	 noun 	 intelligence 	 brightness, intelligence
luz 	 noun 	 point of view 	 focus, point of view, understanding
luz 	 noun 	 understanding 	 focus, point of view, understanding
luz 	 noun 	 focus 	 focus, point of view, understanding
dar a luz 	 verb 	 give birth 	 To give birth
mapa 	 noun 	 map 	 map
pupitre 	 noun 	 desk 	 A student desk
pupitre 	 noun 	 student 	 A student desk
escritorio 	 noun 	 desk 	 a writing desk
escritorio 	 noun 	 desktop 	 desktop, desktop computer
escritorio 	 noun 	 desktop computer 	 desktop, desktop computer
reloj 	 noun 	 clock 	 clock
reloj 	 noun 	 watch 	 watch, wristwatch
reloj 	 noun 	 wristwatch 	 watch, wristwatch
rata 	 adjective 	 stingy 	 stingy, miser, tight-fisted
rata 	 adjective 	 tight-fisted 	 stingy, miser, tight-fisted
rata 	 adjective 	 miser 	 stingy, miser, tight-fisted
rata 	 adjective 	 rat 	 rat, jerk
rata 	 adjective 	 jerk 	 rat, jerk
rata 	 adjective 	 informant 	 rat, snitch, informant
rata 	 adjective 	 rat 	 rat, snitch, informant
rata 	 adjective 	 snitch 	 rat, snitch, informant
rata 	 noun 	 rat 	 rat
rato 	 noun 	 while 	 a while, bit
rato 	 noun 	 bit 	 a while, bit
rato 	 noun 	 rat 	 male rat
rápidamente 	 adverb 	 rapidly 	 rapidly, quickly
rápidamente 	 adverb 	 quickly 	 rapidly, quickly
nada 	 pronoun 	 zero 	 nothing, zero, zilch
nada 	 pronoun 	 zilch 	 nothing, zero, zilch
nada 	 pronoun 	 nothing 	 nothing, zero, zilch
nada 	 pronoun 	 anything 	 anything
nada 	 noun 	 nothingness 	 nothingness
alas 	 noun 	 flip 	 flip, wings
alas 	 noun 	 wings 	 flip, wings
negociante 	 noun 	 shopkeeper 	 shopkeeper
negociante 	 noun 	 businessman 	 businessman
negociante 	 noun 	 negotiator 	 negotiator
dodo 	 noun 	 English 	 dodo
mama 	 noun 	 breast 	 mamma, breast
mama 	 noun 	 mamma 	 mamma, breast
ad libitum 	 adverb 	 ad lib 	 ad lib, ad libitum
al fin 	 adverb 	 finally 	 at last; finally
al fin 	 adverb 	 at last 	 at last; finally
al fin 	 adverb 	 in the end 	 in the end
al fin 	 adverb 	 to the last 	 to the last
pin 	 noun 	 lapel pin 	 pin, lapel pin, badge
pin 	 noun 	 badge 	 pin, lapel pin, badge
pin 	 noun 	 PIN number 	 PIN, PIN number
pin 	 noun 	 PIN 	 PIN, PIN number
vocal 	 noun 	 vowel 	 vowel
vocal 	 noun 	 voting 	 voter, member with vote rights
vocal 	 noun 	 member 	 voter, member with vote rights
vocal 	 noun 	 right 	 voter, member with vote rights
vocal 	 noun 	 voter 	 voter, member with vote rights
vocal 	 adjective 	 voice 	 by means of the voice
larva 	 noun 	 ghost 	 ghost
vapor 	 noun 	 steam 	 steam, vapor
bet 	 noun 	 beth 	 beth; the Hebrew letter
tundra 	 noun 	 English 	 tundra
led 	 noun 	 LED 	 LED
light 	 adjective 	 English 	 light
light 	 adjective 	 English 	 of cigarettes light
light 	 adjective 	 lite 	 by extension Lacking substance or seriousness; lite
fórmula química 	 noun 	 molecular formula 	 molecular formula
mal 	 adjective 	 bad 	 malo bad; evil
mal 	 adjective 	 evil 	 malo bad; evil
mal 	 adjective 	 wrong 	 amiss, awry, off, wrong
mal 	 adjective 	 awry 	 amiss, awry, off, wrong
mal 	 adjective 	 amiss 	 amiss, awry, off, wrong
mal 	 adjective 	 off 	 amiss, awry, off, wrong
mal 	 adverb 	 poorly 	 badly, poorly, ill
mal 	 adverb 	 badly 	 badly, poorly, ill
mal 	 adverb 	 ill 	 badly, poorly, ill
mal 	 adverb 	 awry 	 awry, amiss, wrong, wrongly
mal 	 adverb 	 amiss 	 awry, amiss, wrong, wrongly
mal 	 adverb 	 wrongly 	 awry, amiss, wrong, wrongly
mal 	 adverb 	 wrong 	 awry, amiss, wrong, wrongly
mal 	 adverb 	 hard 	 hard functions as an adverb in Spanish but translates as an adjective in English
mal 	 noun 	 bad 	 evil, harm; a bad thing or situation
mal 	 noun 	 harm 	 evil, harm; a bad thing or situation
mal 	 noun 	 evil 	 evil, harm; a bad thing or situation
mal 	 noun 	 illness 	 disease, illness, ailment
mal 	 noun 	 disease 	 disease, illness, ailment
mal 	 noun 	 ailment 	 disease, illness, ailment
mal 	 noun 	 worse 	 worse substantive
zas 	 noun 	 whack 	 smack, whack
zas 	 noun 	 smack 	 smack, whack
zas 	 interjection 	 bang 	 bang!
tractor 	 adjective 	 driving 	 driving
canal 	 noun 	 waterway 	 canal, flume, waterway
canal 	 noun 	 flume 	 canal, flume, waterway
canal 	 noun 	 channel 	 channel
canal 	 noun 	 channel 	 channel
canal 	 noun 	 channel 	 channel
canal 	 noun 	 cleavage 	 cleavage
conductor 	 noun 	 motorist 	 driver, motorist
conductor 	 noun 	 driver 	 driver, motorist
conductor 	 noun 	 English 	 conductor
conductor 	 noun 	 host 	 presenter; host
conductor 	 noun 	 presenter 	 presenter; host
legal 	 adjective 	 statutory 	 legal, statutory
legal 	 adjective 	 lawful 	 lawful
legal 	 adjective 	 legit 	 legit
reactor 	 noun 	 jet engine 	 jet engine
reactor 	 noun 	 rocket engine 	 rocket engine
reactor 	 noun 	 English 	 atomic reactor
reactor 	 noun 	 atomic 	 atomic reactor
reactor 	 noun 	 English 	 chemical reactor
reactor 	 noun 	 chemical 	 chemical reactor
criminal 	 adjective 	 criminalEnglish 	 criminal
criminal 	 noun 	 criminalEnglish 	 criminal
actor 	 noun 	 defendant 	 defendant
cable 	 noun 	 cord 	 a cable or cord
cable 	 noun 	 wire 	 a wire
cable 	 noun 	 help 	 hand, help
cable 	 noun 	 hand 	 hand, help
funeral 	 adjective 	 funerary 	 funerary, funeral
interior 	 adjective 	 inner 	 inner, interior
exterior 	 adjective 	 external 	 external, outer
exterior 	 adjective 	 outer 	 external, outer
exterior 	 noun 	 outside 	 outside
exterior 	 noun 	 abroad 	 abroad
central 	 adjective 	 English 	 central
central 	 noun 	 headquarter 	 headquarter
central 	 noun 	 center 	 center
central 	 noun 	 power station 	 power station
bug 	 noun 	 English 	 bug
simple 	 adjective 	 mere 	 mere, ordinary
simple 	 adjective 	 ordinary 	 mere, ordinary
simple 	 adjective 	 single 	 simple, single
simple 	 adjective 	 simple-minded 	 simple-minded, stupid
simple 	 adjective 	 stupid 	 simple-minded, stupid
simple 	 adjective 	 flavorless 	 insipid, flavorless
simple 	 adjective 	 insipid 	 insipid, flavorless
simple 	 noun 	 fool 	 simpleton, fool
simple 	 noun 	 simpleton 	 simpleton, fool
bridge 	 noun 	 English 	 bridge
pay 	 noun 	 pie 	 pie
parasol 	 noun 	 umbrella 	 umbrella
parasol 	 noun 	 sunshade 	 sunshade
parasol 	 noun 	 sun visor 	 automotive sun visor
parasol 	 noun 	 English 	 parasol
incontrovertible 	 adjective 	 undisputable 	 undisputable
show 	 noun 	 English 	 show
show 	 noun 	 scandal 	 A scandal
show 	 noun 	 spectacle 	 spectacle
show 	 noun 	 exhibition 	 An exhibition motivated action or thing
split 	 noun 	 splits 	 splits
era 	 noun 	 age 	 era, age
era 	 noun 	 threshing floor 	 threshing floor
era 	 noun 	 tipple 	 tipple
limo 	 noun 	 silt 	 mud, slime, silt
limo 	 noun 	 slime 	 mud, slime, silt
limo 	 noun 	 mud 	 mud, slime, silt
box 	 noun 	 pit 	 pit
balance 	 noun 	 English 	 balance
balance 	 noun 	 balance 	 balance; weighing up
balance 	 noun 	 weighing up 	 balance; weighing up
balance 	 noun 	 w:es:Un año más  	 * 1988, Mecano, Un año más
cake 	 noun 	 fruitcake 	 cake; fruitcake
base 	 noun 	 basis 	 basis
base 	 noun 	 basis 	 basis
base 	 noun 	 grounding 	 grounding
base 	 noun 	 foundation 	 foundation
base 	 noun 	 point guard 	 point guard
base 	 noun 	 base 	 base
collar 	 noun 	 necklace 	 necklace
collar 	 noun 	 English 	 an animal's collar, band or chain around its neck
control 	 noun 	 running 	 control, or running of a business
control 	 noun 	 restraint 	 control or emotional restraint, self-control
control 	 noun 	 self-control 	 control or emotional restraint, self-control
control 	 noun 	 remote control 	 remote control
control 	 noun 	 gamepad 	 controller, gamepad, joypad
control 	 noun 	 controller 	 controller, gamepad, joypad
control 	 noun 	 joypad 	 controller, gamepad, joypad
control 	 noun 	 checkup 	 checkup
bacteria 	 noun 	 bacterium 	 bacterium
vero 	 noun 	 vair 	 vair
vero 	 adjective 	 real 	 true, real
vero 	 adjective 	 true 	 true, real
crisis 	 noun 	 English 	 crisis
crisis 	 noun 	 attackNoun 	 attack; fit
crisis 	 noun 	 fitNoun_2 	 attack; fit
albero 	 noun 	 arena 	 an arena
albero 	 noun 	 dishrag 	 dishrag
rumor 	 noun 	 murmur 	 murmur
mole 	 adjective 	 soft 	 soft, mild
mole 	 adjective 	 mild 	 soft, mild
mole 	 noun 	 chunk 	 hunk, chunk, slab
mole 	 noun 	 slab 	 hunk, chunk, slab
mole 	 noun 	 hunk 	 hunk, chunk, slab
mole 	 noun 	 massiveness 	 massiveness
bien 	 adverb 	 well 	 well
bien 	 adverb 	 well 	 well, fine, okay
bien 	 adverb 	 okay 	 well, fine, okay
bien 	 adverb 	 fine 	 well, fine, okay
bien 	 adverb 	 properly 	 properly
bien 	 adverb 	 willingly 	 willingly
bien 	 adverb 	 very 	 very
bien 	 adverb 	 as well 	 as well
bien 	 adjective 	 upper-class 	 well-to-do; affluent; wealthy; upper-class
bien 	 adjective 	 affluent 	 well-to-do; affluent; wealthy; upper-class
bien 	 adjective 	 well-to-do 	 well-to-do; affluent; wealthy; upper-class
bien 	 adjective 	 wealthy 	 well-to-do; affluent; wealthy; upper-class
bien 	 adjective 	 exclusive 	 exclusive; upscale; high-class
bien 	 adjective 	 upscale 	 exclusive; upscale; high-class
bien 	 adjective 	 high-class 	 exclusive; upscale; high-class
bien 	 noun 	 good 	 good
bien 	 noun 	 goodness 	 goodness
bien 	 noun 	 good 	 good, better substantive
bien 	 noun 	 better 	 good, better substantive
bien 	 noun 	 welfare 	 welfare, benefit
bien 	 noun 	 benefit 	 welfare, benefit
bien 	 noun 	 property 	 ' goods, property, possessions, assets, wealth, estate
bien 	 noun 	 estate 	 ' goods, property, possessions, assets, wealth, estate
bien 	 noun 	 possessions 	 ' goods, property, possessions, assets, wealth, estate
bien 	 noun 	 wealth 	 ' goods, property, possessions, assets, wealth, estate
bien 	 noun 	 assets 	 ' goods, property, possessions, assets, wealth, estate
bien 	 noun 	 goods 	 ' goods, property, possessions, assets, wealth, estate
et 	 noun 	 ampersand 	 ampersand
ir 	 verb 	 go 	 to go
ir 	 verb 	 come 	 to come
ir 	 verb 	 go 	 to be going to , to go
ir 	 verb 	 going to 	 to be going to , to go
ir 	 verb 	 leave 	 to go away, to leave, to be off
short 	 noun 	 shorts 	 shorts
plasma 	 noun 	 English 	 plasma
house 	 noun 	 house music 	 house music, house
doctor 	 noun 	 physician 	 physician
metal 	 noun 	 English 	 metal
metal 	 noun 	 English 	 metal
metal 	 noun 	 English 	 metal
snow 	 noun 	 snowboarding 	 snowboarding
meter 	 verb 	 insert 	 to put in, insert
meter 	 verb 	 in 	 to put in, insert
meter 	 verb 	 put 	 to put in, insert
meter 	 verb 	 score 	 to score
meter 	 verb 	 make 	 to make noise
meter 	 verb 	 stick 	 to cram, to stuff, to stick, to shove
meter 	 verb 	 stuff 	 to cram, to stuff, to stick, to shove
meter 	 verb 	 cram 	 to cram, to stuff, to stick, to shove
meter 	 verb 	 shove 	 to cram, to stuff, to stick, to shove
meter 	 verb 	 get into 	 to meddle, interfere, to get into
meter 	 verb 	 meddle 	 to meddle, interfere, to get into
meter 	 verb 	 interfere 	 to meddle, interfere, to get into
pos 	 noun 	 pursuit 	 pursuit
sal 	 noun 	 salt 	 salt; table salt
sal 	 noun 	 table salt 	 salt; table salt
sal 	 noun 	 salt 	 salt
e 	 conjunction 	 and 	 and
sorry 	 interjection 	 English 	 sorry
barón 	 noun 	 baron 	 baron
varón 	 noun 	 male 	 person of male sex
tanto 	 adjective 	 that 	 so much, as much, that much
tanto 	 adjective 	 as 	 so much, as much, that much
tanto 	 adjective 	 so much 	 so much, as much, that much
tanto 	 adjective 	 so many 	 so many, as many, that many
tanto 	 adverb 	 so 	 so much, long, hard, often, etc
tanto 	 adverb 	 somewhat 	 somewhat, to a certain extent
tanto 	 noun 	 copy 	 copy
tanto 	 noun 	 chip 	 poker chip, counter
tanto 	 noun 	 counter 	 poker chip, counter
tanto 	 noun 	 goal 	 point, goal
tanto 	 noun 	 point 	 point, goal
tanto 	 noun 	 portion 	 portion
tanto 	 pronoun 	 many 	 so much, so many
tanto 	 pronoun 	 much 	 so much, so many
san 	 adjective 	 saint 	 t=saint
san 	 noun 	 quota 	 financial, temporal-savings scheme. The participants periodically contribute a quota to a communal pot that is given to one member, based on his/her turn amongst all the others
san 	 noun 	 English 	 san; the Greek letter
chan 	 noun 	 nueces 	 * year=2002|author=Rodrigo Crespo A.|title=Comiendo pura vida|page=135|passage=Los aderezos de semillas y nueces se preparan licuando semillas remojadas de linaza, girasol, chan...|t=Seasonings from seeds and nuts are prepared by blending soaked linseed, sunflower seeds, chia seeds
chan 	 noun 	 linaza 	 * year=2002|author=Rodrigo Crespo A.|title=Comiendo pura vida|page=135|passage=Los aderezos de semillas y nueces se preparan licuando semillas remojadas de linaza, girasol, chan...|t=Seasonings from seeds and nuts are prepared by blending soaked linseed, sunflower seeds, chia seeds
chan 	 noun 	 semilla 	 * year=2002|author=Rodrigo Crespo A.|title=Comiendo pura vida|page=135|passage=Los aderezos de semillas y nueces se preparan licuando semillas remojadas de linaza, girasol, chan...|t=Seasonings from seeds and nuts are prepared by blending soaked linseed, sunflower seeds, chia seeds
chan 	 noun 	 licuando 	 * year=2002|author=Rodrigo Crespo A.|title=Comiendo pura vida|page=135|passage=Los aderezos de semillas y nueces se preparan licuando semillas remojadas de linaza, girasol, chan...|t=Seasonings from seeds and nuts are prepared by blending soaked linseed, sunflower seeds, chia seeds
