dictionary	dictiōnārium
distance	distantia
dimension	dimensio
man of the world	homō mundī
man of god	vir Dei
man-of-war	vir bellator
jellyfish	pulmo
jellyfish	halipleumon
liberal	largus
activity	actiō
experience	perītia
experience	patior
eventually	tandem
ad hoc	ad hoc
ad lib	ad libitum
adherent	sectātor
aforementioned	supradictus
against	contra
against	in
against	contrā
accused	reus
larva	larva
galaxy	galaxias
galaxy	galactia
maid	puella
maid	ancilla
maiden	virgo
ribbon	clipeum
ribbon	taenia
ribbon	taeniola
hither	hūc
thither	illūc
thither	eodem
hitherto	adhūc
hitherto	hactenus
hitherto	hucusque
hitherto	illatenus
hitherto	aliquando
dish	patella
dish	lanx
dish	catīnus
dish	catillus
dish	paropsis
dish	ferculum
environment	circumiectum
hong kong	Hongcongum
hong kong	Siamkiamum
technology	technologia
lithuanian	lithuanicus
disguise	dissimulō
nurse	nutriō
nurse	alō
citizen	cīvis
human	humānus
family	familia
family	gens
arise	surgo
arise	enascor
arise	existo
arise	surgere
muslim	muslimanus
muslim	author=Irene Silverblatt
islam	islam
islam	religio islamica
chat room	collocutorium
eyelash	kirpik
eyelash	cilium
eyelash	palpebrae
eyelid	palpebra
eyelid	cilium
eyesore	rēs odiosus
become	fiō
become	exsisto
befall	accido
befall	incidō
befall	cado
befall	ēveniō
bend	flectō
bend	sinuō
bend	curvō
bend	curvāmen
bend	flexus
bend	campter
broken	ruptus
broken	frāctus
broken	fractus
breed	pariō
broadcast	dissēminō
repository	receptāculum
repository	apothēca
build	mūniō
build	aedificō
build	struō
build	construō
burnt	ustus
burnt	ārsus
burnt	aestuātus
icon	icon
cost	cōnstō
cost	valeō
cost	pretium
cost	sūmptus
cost	impendium
cost	impensa
cut	inseco
cut	incido
cut	seco
cut	interseco
cut	curto
drunk	ēbrius
drunk	pōtus
drunk	ūvidus
drunk	ēlixus
drunk	borracho
drunk	ebrio
drunk	pedo
drunk	tomado
drunk	beodo
drunk	embriagado
drunk	bebido
drunk	alcoholizado
drunk	escabiado
drunk	escabio
drunk	colloquial
drunk	escabiador
drunk	ēbriōsus
drunk	bibōnius
drunk	madulsa
drunk	bebedor
drunk	tomador
drunk	embriaguez
drive	pellō
drive	conducir
drive	guiar
drive	manejar
drive	Philippines
drive	impellō
drive	ir en coche/carro/auto
fallen	occisus
fallen	casurus
flaxen	līneus
flaxen	flāvus
forbid	vetō
forbid	prohibeō
forbid	interdicō
forbid	abnegō
forbid	negō
forbid	denegō
forbidden	vetitus
forbidden	interdictus
forbidden	impermissus
forbidden	zabranjen
foresee	divinō
foresee	praevideō
foresee	prōvideō
foresee	prospicio
syntax	syntaxis
enterprise	coeptus
enterprise	susceptum
enterprise	ausum
enterprising	experiens
entertain	remittor
entertain	oblectō
entertain	oblecto
entertainment	oblectāmen
entertainment	oblectāmentum
linguistics	linguistica
foretell	praedico
foretell	divino
foretell	praeloquor
foretell	ōminor
foretell	cano
foretell	vaticinor
forget	oblīvīscor
forget	amitto memoriam
forget	dedisco
forget	obliviscor
forget	forġietan
forgotten	oblītus
forgive	īgnōscō
forgive	veniam do
forgive	condōnō
forgive	iustificō
forgive	redōnō
forsaken	relictus
forsaken	dērelictus
frozen	gelātus
grow	cresco
grow	adolesco
grow	grandesco
grow	ösmek
grow	östürmek
grow	alesco
grow	alo
grow	augeō
grow	mātūrō
sandbox	arenarium
sandbox	harenarium
hurt	doleō
hurt	laedō
hurt	sauciō
hurt	laesus
hurt	noxia
pigeon	columbus
pigeon	columba
pigeon	columbulus
pigeon	columbula
interweave	nectō
interweave	intexō
keep	reservare
keep	retinere
keep	teneo
known	nōtus
lightning	fulgur
lightning	fulmen
euphemism	euphemismus
participle	participium
part of speech	pars ōrātiōnis
natter	garriō
prattle	garriō
irregular verb	anomalum verbum
irregular verb	verbum anomalum
lost	dēsīderārī
lost	āmissus
mislead	decipio
misunderstand	fallor
misunderstand	fallo
archaic	archaicus
tomorrow	crās
tomorrow	cras
tomorrow	dies crastinus
tomorrow	dies castinus
tomorrow	dies castina
paint	pigmentum
paint	pingō
paint	pingere
machine	māchina
machine	machina
rod	tālea
rod	pertica
rod	baculum
rod	virga
oar	rēmus
wool	lāna
-logy	-logia
canal	fossa
morphology	morphologia
legal	legalis
legal	legitimus
legal	lēgitimus
factor	factor
cable	saphon
internal	internus
interior	penitus
central	medius
inflection	flexio
inflection	flexura
shoe	calceus
i.e.	i. e.
i.e.	sc.
i.e.	h. e.
e.g.	e. g.
e.g.	ex. gr.
e.g.	e. c.
speak	loquor
speak	dīcō
speak	fābulor
speak	for
speak	effor
straight	rectus
straight	dīrectus
thunder	tonus
thunder	tonitrus
thunder	tonitruum
thunder	tono
thunder	tonare
zenith	cenit
secretary	scrība
secretary	librarius
secretary	librariolus
secretary	sēcrētārius
bug	cīmex
bug	piget
bug	taedet
brief	brevis
where	ubi
where	ubinam
where	quō
where	unde
where	in quo loco
outbid	adiciō
ducat	dukado
addition	additio
addition	appendix
apparatus	apparātus
outdo	superō
outdo	praecellō
attempt	cōnor
attempt	conatus
attempt	temptāmen
attempt	temptāmentum
overcome	superō
overcome	vincō
myself	egomet
y'all	vos
y'all	vosotros
y'all	os
y'all	ustedes
neologism	neologismus
let's	reworded to what I think they meant, but I don't know if this is correct
scissors	forfex
scissors	axicia
separate	distinctus
separate	sēcrētus
separate	dīvidō
separate	sēiungō
cough	tussiō
circle	circulus
circle	circus
circle	orbis
circle	corona
circle	circulum
circle	cingō
camera	camera photographica
camera	machina photographica
conscious	cōnsciēns
conscious	cōnscius
common	commūnis
common	communis
common	genus commune
then	tum
then	deinde
then	tunc
then	exinde
then	igitur
then	contra ea
then	alioqui
then	autem
then	title=Ouids Banquet of Sence. A Coronet for his Miſtreſſe Philoſophie, and his amorous Zodiacke. VVith a tranſlation of a Latine coppie, written by a Fryer, Anno Dom. 1400 
weight	pondus
weight	auctōritās
pledge	spondere
pledge	vovere
pledge	pignus
thing	rēs
thing	ens
thing	res
bubble	bulla
bubble	bulliō
itself	sē
itself	sēsē
itself	sibi
itself	suī
itself	ipsum
self	idem
himself	sē
himself	sēsē
himself	sibi
himself	suī
himself	ipse
herself	sē
herself	sēsē
herself	sibi
herself	suī
herself	ipsa
bag	follis
bag	saccus
boat	navis
body	corpus
before	ante
before	prō
before	prae
before	anteā
before	antequam
chalk	crēta
chalk	calx
basket	corbis
complex	complicātus
complex	involūtus
complex	complex
branch	rāmus
branch	sūrus
branch	termes
curtain	plagula
curtain	aulaeum
curtain	sīparium
curve	curvāmen
curve	flexus
coat	laena
coat	pellis
beautiful	pulcher
beautiful	formosus
beautiful	bellus
brick	later
brick	latericius
bone marrow	medulla ossium
bone marrow	medulla
leukemia	leucaemia
leukemia	leucemia
themselves	ipsi
themselves	ipsos
themselves	ipsas
themselves	ipsa
tendency	prōpensiō
partake	participō
report	referō
report	auditio
report	relātus
capitalism	capitālismus
democracy	imperium populī
democracy	dēmocratia
politics	cīvīlitās
remake	rimejk
remake	remake
rewrite	rescrībō
ride	equitō
ride	caballico
parasol	umbella
run	currō
seek	quaerō
shake	commoveō
shear	tondeō
shed	effundo
shed	horreum
shed	tugurium
shed	cobertizo
shed	galpón
shed	sotechado
arbitrary	arbitrārius
arid	āridus
arid	inaquōsus
charlatan	magus
diminutive	(nomen) deminutivum
diminutive	(nomen) diminutivum
fortuitous	fortuītus
freight	onus
longevity	longaevitās
mollify	lēniō
ominous	dīrus
ominous	ominosus
pugnacious	pugnāx
spurious	reprobus
ambiguous	ambiguus
contemporary	aequālis
contemporary	coaevālis
disdain	despectio
disdain	fastus
disdain	despicio
disdain	dēdignor
disdain	aspernor
unusual	ēnormis
unusual	insuētus
unusual	insolens
show	ostendo
show	praestō
show	offero
show	exhibeo
show	designo
show	monstro
show	doceo
show	spectaculum
show	ostentus
slay	occidō
slay	interficiō
slay	necō
slay	lētō
spoken	dictus
spin	neō
split	fissus
split	fissura
split	scindō
split	partior
split	findō
split	dividō
split	fatiscō
split	dispartio
split	dispartior
split	divido
split	separo
strive	mōlior
strive	appeto
nettle	urtīca
stiffen	rigēscō
stiffness	rigor
stiff	rigidus
stiff	rigens
strike	feriō
strike	cūdō
strike	pulsō
strike	plangō
strike	operistitium
strike	plāga
string	līnum
string	līnea
string	fīlum
swollen	tumidus
swollen	aemidus
swing	oscillo
swing	oscillum
thought	idea
thought	cōgitātiō
thought	cogitatio
thought	putatio
thrust	trūdō
unbound	solūtus
understand	intellegō
understand	comprehendō
understand	percipio
understand	scio
understand	conspicio
understand	teneo
understand	capio
understand	exaudio
understand	video
understand	interpretor
understand	subaudio
understand	crēdō
undertake	adeo
undone	infectus
uphold	tueor
upset	sollicitus
upset	subvertō
wed	maritō
wed	nūbō
wet	udus
wet	umidus
wet	madidus
wet	ūvidus
wet	lavo
wet	imbuō
wet	madefacio
withdraw	retrahō
withdraw	desciscō
withdraw	recēdō
withdraw	dēcēdō
withdraw	dētrāhō
era	aetas
shape	forma
shape	figura
shape	figūra
shape	fingō
shape	formō
threaten	minor
threaten	minitor
threaten	insto
cornish	cornicus
cornish	lingua cornica
sot	madulsa
cause	causa
cause	ratiō
cause	efficiō
cause	creō
diphthong	diphthongus
diphthong	diphthongos
competition	certāmen
cushion	cervīcal
cushion	culcita
cushion	pulvīnus
behavior	actio
behavior	actus
change	cambiō
change	mūtō
change	promeniti se
change	promeniti
change	permūtō
change	commūtō
change	zameniti
change	preobući se
change	preoblačiti se
change	presvući se
change	presvlačiti se
change	cambiatio
change	mutatio
change	permutatio
change	cambio
change	devueltas
change	vuelta
change	vueltas
change	vuelto
committee	consilium
by	apud
by	aput
by	ab
by	a
by	per
by	cata
brain	cerebrum
goshawk	Accipiter gentilis
skylark	alauda
analysis	analysis
cement	ferrūmen
cement	caementum
mallard	divlja patka
syllable	syllaba
grey heron	ardea cinerea
heron	ardea
heron	ardeola
long-eared owl	axio
act	āctus
act	akta
act	ago
act	gero
act	facio
act	geror
act	me gero
balance	trutina
balance	statēra
coal	karvon
coal	carbō
little owl	Athene noctua
certain	certus
certain	fidus
certain	quīdam
poetess	poētria
clear	clārus
clear	sūdus
clear	diluo
clear	mundo
cover	operculum
cover	suffugium
cover	cooperiō
cover	occulō
cover	operiō
cover	tego
collar	mellum
between	inter
iron	ferreus
iron	ferro levigare
connection	nexus
buzzard	būteō
stork	cicōnia
rock dove	columba
jackdaw	monēdula
jackdaw	grāculus
cuckoo	cuculus
ipa	API
applaud	plaudō
applaud	applaudō
basis	fundāmen
relaxed	remissus
belly	abdomen
belly	venter
belly	pantex
bestow	dono
journey	iter
journey	cursus
journey	vio
journey	iter faciō
ice	gelo
ice	glacio
southern	merīdiōnālis
southern	austrālis
sovereignty	summus imperii
sovereignty	principatus
space station	statiō spatiālis
decline	abnegō
acorn	glans
door	foris
door	ostium
door	ianua
door	dvāra
distribution	dīvīsiō
distribution	diaeresis
distribution	distribūtiō
distribution	brytnung
dry	siccus
dry	aridus
dry	arēscō
dry	exsuco
dry	arefacio
dry	sicco
doubt	dubitare
doubt	dubitas
doubt	dubitatio
doubt	dubium
different	differens
difference	differentia
dirty	sordidus
dirty	impuratus
dirty	impurus
dirty	fūl
dirty	unclǣne
dirty	adeliht
dirty	foedō
dirty	inquinō
depth	altitudo
goat	caper
goat	capra
goat	hircus
end	fin
end	finis
end	terminus
end	termen
end	exitus
end	extremum
end	extremus
end	peractio
end	finalitas
end	finio
end	termino
end	finem habeo
end	finior
end	terminor
end	svršiti
end	završiti
electric	electricus
violin	violinum
bankrupt	decoctor
bankruptcy	dēcoctiō
following	sequens
following	deinceps
following	posterus
octopus	polypūs
octopus	octopūs
penis	penis
penis	veretrum
falcon	falcō
kestrel	falco
rooster	gallus
great tit	Parus major
great tit	senica
great tit	sjenica velika
sparrow	passer
peacock	pāvō
hierarchy	hierarchia
authority	auctōritās
impose	impōnō
impose	infligo
power	potestas
power	facultas
power	potentia
power	ars
power	potestās
power	vis
proportion	prōportiō
outcome	eventus
outcome	prōventus
outcome	effectus
outcome	eventum
partridge	perdīx
pheasant	phāsiānus
magpie	pīca
woodpecker	pīcus
alpine chough	Pyrrhocorax graculus
turtle dove	turtur
owl	būbō
owl	noctua
owl	strix
owl	ulula
owl	parra
tawny owl	cavannus
starling	sturnus
black grouse	tetrao
blackbird	merula
barn owl	parra
american bison	bos bison
european bison	Bos bonasus
wisent	bisōn
buffalo	ūrus
buffalo	būbalus
cattle	pecu
cattle	pecus
cattle	pecuāria
cattle	bos
dromedary	dromedaria
fallow deer	damma
donkey	asellus
donkey	asinus
hedgehog	ērinaceus
hedgehog	ēricius
lynx	lynx
lynx	chama
weasel	mūstēla
weasel	mustela
polecat	mustella
polecat	putorius
polecat	tvȏr
dormouse	glīs
dormouse	nītēdula
squirrel	sciūrus
wild boar	aper
fox	vulpes
fox	vulpēs
shrew	sōrex
christian	Christianus
christian	Christiana
christian	Chrīstiānus
christian	Chrīstiāna
christian	cretin
occitan	occitanicus
rim	canthus
goddess	dea
goddess	dīva
goddess	boginja
castle	castellum
castle	castrum
dialogue	colloquium
dialogue	sermō
dialogue	diverbium
logic	dialectica
checkmate	latrunculusque matum
capture	captūra
capture	capiō
dead	mortuus
death	mors
death	nex
death	exitium
death	quietus
death	letum
death	finis
death	obituis
death	obitus
death	funus
death	letus
if	si
true	vērus
true	verus
true	firmus
true	legitimus
else	alius
else	alioqui
jewel	gemma
judge	iūdex
judge	iudex
judge	exīstimātor
judge	iūdicō
judge	arbitror
tall	altus
tall	prōcērus
short	curtus
short	humilis
shallow	vadum
wide	lātus
wide	keng
liquid	liquidus
liquid	latex
solid	solidus
melt	liquescō
melt	liquefaciō
melt	liquō
condense	condēnsō
fluid	latex
fluid	liquidus
fluid	fūsilis
fluid	tečnost
knowledge	notitia
knowledge	notio
knowledge	agnitio
knowledge	cognitio
knowledge	intelligentia
knowledge	scientia
knowledge	artes
knowledge	disciplinae
knowledge	litterae
knowledge	humanitas
knowledge	studia
important	gravis
important	magnus
hospital	nosocomīum
hospital	valētūdinārium
hospital	infirmaria
metal	metallum
mountain	mōns
salt	sealt
salt	salio
salt	sealtan
salt	sieltan
whip	flagrum
whip	lōrum
whip	verber
whip	scutica
blade	lamina
sword	gladius
sword	spatha
sword	ēnsis
sword	machaera
sword	mūcrō
sword	ferrum
boiling	fervidus
near	propinquus
near	prope
near	propter
near	iuxta
near	circa
near	circiter
sharp	acer
sharp	acutus
sharp	sagāx
dull	hebes
dull	retūsus
dull	brūtus
dull	fatuus
dull	idiōta
dull	stultus
old	vetus
old	vetulus
old	senex
old	annosus
old	antiquus
old	ex
old	natus esse
smooth	glaber
smooth	lēvis
smooth	teres
smooth	poliō
rough	asper
rough	rudis
rough	impolītus
vomit	vomō
vomit	vomitō
vomit	vomitus
pull	vellō
pull	trahō
float	fluitō
float	volito
float	plovak
play	lūdō
play	iocō
play	cano
play	inflo
play	sono
play	lūdus
play	fabula
dust	pulvis
stone	lapis
stone	petra
stone	saxum
stone	nūcleus
stone	lapidō
stone	lapideus
flame	flamma
decrease	dēcrēmentum
space	spatium
matter	māteria
matter	materia
matter	rēs
matter	fabula
matter	causa
matter	res
matter	intersum
matter	pertineo ad
matter	pertineo
no one	nēmō
everyone	omnes
someone	aliquis
someone	aliquid
someone	quidam
someone	quiddam
someone	quaedam
somebody	aliquis
somebody	aliquid
nobody	terrae filius
many	multi
rotten	puter
rotten	putris
rotten	cariōsus
meter	metrum
meter	mȅtar
whooping crane	Grus americana
whooping crane	Grus canadensis
sandhill crane	Grus canadensis
scabbard	vāgīna
european union	Unio Europaea
field	campus
field	ager
field	nàlazīšte
e	ē
heaven	caelum
deity	deus
deity	deitas
deity	divinitas
courage	fortitudo
courage	virtus
courage	animus
courage	audentia
emit	ēmittō
energy	nāvitās
europe	Eurōpa
feminine	fēminīnus
feminine	muliebris
jew	iudaeus
orbit	orbis
orbit	circuitus
orbit	ambitus
orbit	gȳrus
artery	artēria
vein	vēna
prince	regulus
prince	princips
prince	princeps
princess	filia regis
princess	regina
princess	principissa
emperor	imperātor
emperor	cȁr
emperor	impèrātor
emperor	cȅsār
principality	prīncipālitās
empire	imperium
baron	barō
duke	dux
duchess	dux
countess	comitessa
countess	cometissa
countess	cometessa
countess	comitissa
county	comitatus
state	civitas
state	res publica
state	status
state	elementum
state	eloquor
state	dico
federation	foederātiō
earl	comes
organ	viscus
organ	organum
organ	organum tubulatum
organism	organismus
digestion	digestio
africa	Africa
africa	Libya
antarctica	Antarctica
oceania	Oceania
asia	Asia
subpoena	convador
north america	Latin America
tissue	textus
south america	America Austrālis
vote	suffrāgium
vote	suffrāgō
communism	communismus
samurai	samuraeus
hilt	manūbrium
display	ostentus
display	exhibeō
display	praestō
u	ū
romaji	chữ cái Latinh
romaji	chữ Latinh
screwdriver	desarmador
screwdriver	vodka con naranja
artichoke	carduus
hazelnut	abellana
foal	equulus
colt	equuleus
continuous	continuus
continuous	perpetuus
continuous	perpes
prefix	praeverbium
prefix	praefīxum
dew	rōs
hammer	malleus
hammer	martellus
hammer	marcus
hammer	tudes
hammer	bolqa
ewe	ovis
worship	adōrātiō
worship	cultio
worship	cultus
worship	venero
worship	adoro
worship	apprecor
worship	colō
prostitute	spintria
prostitute	meretrix
prostitute	scortum
prostitute	nōnāria
prostitute	lupānāria
prostitute	lupa
rational number	numerus rationalis
beard	barba
seem	videor
home	domus
home	domicilium
home	focus
home	penates
home	aedes
home	tēctum
home	aedificium
home	meta
